Row,a1,a2,a3,a4,a5
mvgc-lwr,-0.525976425816347,1.16931714913743e-05,2.1017640669505,0.190366218666189,1.63986347816855
mvgc-ols,-0.869814833271463,2.60540660827689e-05,2.74099976775753,-0.241793235247612,1.70931857231226
mvgc-lasso,-0.0169197050858808,2.64895021273287e-07,3.47007019621115,0.189745243735318,1.68784648162551
mvgc-sbl,-131.80632943083,6.37127078783412e-07,1.90860990733504,2.1052443859983,0.151754295347618
mvgc-lapsbl,-10.5724482343787,7.92469917715523e-07,2.14616295666741,2.16307865872031,0.140988719331359
pdc-lwr,80.1887475199195,2.53038927007392e-08,5.54503718182437,0.0716563158691337,1.35040235042069
pdc-ols,71.5296568139907,3.52123066900877e-08,5.57684110658438,0.0021436469164445,1.35280366841046
