Row,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
mvgc-lwr,20.414508310952,-20.9405770417247,-9.30438969853512,67.3707269854543,6.20977012592842e-05,0.0321880139213014,-11.7790799096494,-18.6482957221599,2.07604941303434,0.0690033869475255,1.61784937402915
mvgc-ols,52.5459970670474,-24.5506448418861,-5.86142889073557,-12.063169868295,8.02964926292308e-05,-14.7419736583304,-7.26723360692262,-33.1178851088462,2.75663005312398,-0.34272156529876,1.69686317330025
mvgc-lasso,41.2433839779944,-31.2587471246541,-36.3344383796678,-14.5885463250214,1.30063223760281e-07,-47.2885567663969,-0.0596575602122052,-39.3780909568002,4.57569831379715,-0.604711270205497,2.79014216594216
mvgc-sbl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mvgc-lapsbl,1695.90172047436,-622.097646757512,-378.494699973514,-490.92730617108,1.08239581922333e-06,0.270817342821116,1.55968834993767,-0.00763306920407175,2.07630213240785,2.19131816932219,0.14429800508547
pdc-lwr,212.74889518279,0.000727333458710668,-1.17481565517318,-133.612462545787,2.84670177280715e-05,3.82586049124956,-3.54696639681873,0.338212600970945,3.26612122664408,-0.166232419008486,2.05408705628636
pdc-ols,188.406860697418,0.000759754369266693,22.5939611575232,-129.60008462424,2.35494069951621e-05,3.80879388721273,0.0941454381096089,0.364144559074325,3.10970804087879,-0.0138222614702094,1.94754080380077
