Row,a1,a2,a3,a4,a5
mvgc-lwr,-0.505877976297872,7.74647991821685e-06,2.09785984504819,0.241815212612057,1.63731488930693
mvgc-ols,-0.8479294854328,2.41395064352518e-05,2.77296070980267,-0.252661560411459,1.70843962671227
mvgc-lasso,1.62023456814461,4.46226271589876e-07,3.48602011804112,0.0652060433452033,1.9311068317451
mvgc-sbl,-73.77610052031,5.55806910907091e-08,2.09637159470852,2.34992322320563,0.142303588853986
mvgc-lapsbl,-28.0353728319345,1.83997284824025e-06,2.02903069941982,2.09403215921738,0.140932578355264
pdc-lwr,49.8707579093917,3.39868152577502e-07,5.29709013905822,-0.110673336815894,1.23685198461988
pdc-ols,52.6231892482785,1.30243344217137e-07,5.33119742750529,0.000278854973869149,1.22672290935193
