Row,a1,a2,a3,a5
mvgc-lwr,-0.748369510094925,4.64357725733542e-05,2.10422952917709,1.64221850574496
mvgc-ols,-0.5427048937764,2.80452611262851e-06,2.74315394928595,1.71037877342679
mvgc-lasso,0.0916152608116143,5.57219109387303e-07,3.56425995521084,1.76179162833211
mvgc-sbl,228.587399347553,0.0120956113397741,2.8153969108759,0.93207812258571
mvgc-lapsbl,102.194993721375,0.136926616844914,2.84878314503791,0.41522139684206
pdc-lwr,35.2042331204419,1.11536321378721e-06,4.81343266062022,1.19059094474303
pdc-ols,69.9064574401761,4.14533863574478e-08,5.54207565822835,1.34555272614759
