Row,a1,a2,a3,a4,a5,a6,a7
mvgc-lwr,-2370.17223959968,0.110767706731133,-2244.40227234082,4556.90876875255,1.43557449516304,0.00106062678525257,0.00619553708025573
mvgc-ols,-9962.63227395317,0.0228611844543735,-9856.28109845823,19756.8972588994,1.87586915691503,0.000861645271375154,0.00244313901143219
mvgc-lasso,-147.705904606731,0.000865873151714626,1.05479385837106e-09,118.176958786423,2.79543869704031,3.02467536193705,0.0860602607188163
mvgc-sbl,-1626.0995515444,0.763963680873544,0.000149045704261446,79.4967672165574,2.34235976159137,2.21963704632381,0.68554203671487
mvgc-lapsbl,-1144.00122896054,1.6134327074896,0.00533377222627372,31.3104886812149,2.37456570873405,1.79693763976237,0.73878872541325
pdc-lwr,-3562.07270955911,0.00921765506724735,3069.78449449863,0.0141656188605513,3.26867755654012,0.0104321728552201,2.80789812290661
pdc-ols,-1940.73970273978,0.0101379544685824,1618.59758217101,0.00434436213896953,3.24369678465336,0.00483369139432165,3.10109445617139
