Row,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
mvgc-lwr,12.4926189908651,-22.3892021044851,-11.4823012809074,53.9183295286354,3.16573728554765e-05,-10.807573147736,-10.5991583318162,-51.4395241976673,2.09349136109981,0.156224046484878,1.63212172965136
mvgc-ols,56.1868452954544,-26.5553159359208,-13.1182279733255,-14.4997728728674,6.38859908239009e-05,-7.48166451657222,-0.178347152338411,-57.2655714687299,2.72625339041161,-0.30959285032457,1.69810492224348
mvgc-lasso,47.5754309623215,-0.789199188272428,-7.94417488650102,-33.2655161599246,4.41124758455601e-06,-4.14086395693578,-3.48580265704049,0.0409103979727924,3.18336451789766,0.117353964880896,1.56478886510286
mvgc-sbl,6212.58480317183,-2191.2365688164,-1521.53559040042,-1547.89886831414,1.49935213890191e-07,0.00485682571803255,0.0875159227360399,-0.0608611076548072,1.8447772176348,2.35566985356617,0.122663908687953
mvgc-lapsbl,204.360319321522,-4.05396725973615,4.42683657244935e-15,-159.906275030691,2.0358522986059e-06,1.25559637957634,5.19306440652529,0.0337235025053155,2.22627332171992,2.03639417727069,0.139559090215081
pdc-lwr,376.638865517921,0.000710191817546691,-100.354244094663,-68.6410750645251,6.06243249267885e-05,3.8302249593935,0.0996665995057697,0.586297773982808,2.71819086685908,0.107125543072255,1.91295037461451
pdc-ols,201.733128621742,0.000712136089590009,1.3653219638416,-97.1232568324387,7.55277356400058e-05,3.82380968195745,-1.76414261635548,0.482327800371851,2.84746238406424,-0.0110923328902553,1.90429335202524
