Row,t0,t1,t2,t3,t4
mvgc-lwr,127.423809394809,119.161555776039,335.837778228926,132.806984561956,332.09209124769
mvgc-ols,101.001369751153,128.173407780425,383.329711619536,138.988490876736,380.353002392229
mvgc-lasso,107.437725139614,100.384686250635,218.668736851153,118.430668995061,216.990732881623
mvgc-sbl,864.025360663685,724.127055061465,826.648336942207,731.751152023248,827.430538857567
mvgc-lapsbl,912.659954921866,634.189432110684,878.268100682048,653.822783848776,883.559828773727
pdc-lwr,1232.69767707288,1231.49868594765,1313.8710185599,1192.6477021966,1328.12599182906
pdc-ols,1300.99159240101,1302.96135048805,1399.21335118777,1262.64556027771,1416.0572945977
