Row,t0,t1,t2,t3,t4
mvgc-lwr,98,79,38,4,89
mvgc-ols,80,64,38,16,88
mvgc-lasso,92,59,49,11,100
mvgc-sbl,57,88,16,0,99
mvgc-lapsbl,63,88,12,17,100
pdc-lwr,44,83,16,17,96
pdc-ols,65,86,10,20,98
