Row,t0,t1,t2,t3,t4
mvgc-lwr,3.6183474776533,2.68730908688821,3204.68932895588,3.02369108406767,3321.90431221258
mvgc-ols,1.44416183403203,3.71189245971728,15606.3767808542,3.56029620211469,16597.220551003
mvgc-lasso,4.22269922449107,2.99255116386387,333.361409181293,4.92068323272434,425.128592516216
mvgc-sbl,1734121.93826694,101524.669886118,761408.437763389,95566.2200313889,834105.623063508
mvgc-lapsbl,373684.570913161,2969.06145078539,197190.342099031,3304.79693708819,226260.216051421
pdc-lwr,109731.399596406,104272.489384841,275936.640783382,62690.7129961111,341539.650087537
pdc-ols,88495.1989899846,88978.9307512379,255877.967906398,54168.1826777217,321332.407900934
