Row,t0,t1,t2,t3,t4
mvgc-lwr,5.64759720954694e-14,3.50448511310295,0.000265344763937759,9.83472647825356,5.71654804684778e-14
mvgc-ols,5.77136925631645e-14,6.59406433281025,0.000274980560541449,8.34610275951892,5.71691717790081e-14
mvgc-lasso,2.90630632616706,1.31457560561034,0.000268914645476787,4.44043604947872,1.14259571007462e-13
mvgc-sbl,6.61045255898705e-10,0.807839689587618,0.156948653707307,NaN,1.14265400428705e-13
mvgc-lapsbl,6.46501508376761e-10,1.31309754326897,1.18742029341568e-13,6.11887263431998,4.57038284029846e-13
pdc-lwr,1.88594115452572e-09,2.47434755202146e-09,0.00583702563070935,3.35433487158684,6.83714769217942e-13
pdc-ols,3.50225827260177e-09,3.78732636591452e-09,8.80102599730376e-08,3.98176318528088,0
