Row,t0,t1,t2,t3,t4
mvgc-lwr,135.358827580871,123.534374367291,355.620980317665,143.639223389767,351.919116539081
mvgc-ols,101.822898752426,132.426049883064,394.780359195918,145.441919386726,391.857288524785
mvgc-lasso,205.089253867395,191.346688421152,322.983062039583,196.180632585924,317.343976466913
mvgc-sbl,901.769478132624,710.716623078221,861.768209427604,NaN,863.294276496842
mvgc-lapsbl,969.357109526242,701.717644084894,920.333580566506,706.892956426143,924.54245111649
pdc-lwr,1293.00448048637,1288.70067768604,1379.63399145398,1234.80723104362,1394.46614428409
pdc-ols,1346.57050550669,1348.57039545495,1445.72313670586,1292.15380241533,1464.27137795216
