Row,t0,t1,t2,t3,t4
mvgc-lwr,3.58091261428525,2.41878137561631,3003.93268851163,3.42631674854321,3112.32936898773
mvgc-ols,1.33703001709235,3.70138384372708,15081.9055077464,4.02567166800656,16038.8061691017
mvgc-lasso,57.093290861606,34.5876539297589,3129.13814906838,26.9050233924282,2914.85865856656
mvgc-sbl,1848786.84175899,43337.8771399887,794378.807726311,NaN,882163.327990277
mvgc-lapsbl,437966.693887129,5270.11908784479,177703.743477807,4848.7570885454,210077.463145894
pdc-lwr,95075.191824081,90705.258864702,243079.355311959,46238.5963303201,300368.306386799
pdc-ols,78717.1384029466,79572.6672923738,219286.268108403,41035.9556165921,277704.455697789
