Row,t0,t1,t2,t3,t4
mvgc-lwr,1.11728802590812e-13,3.13893379052193,0.000371514349886739,6.80794481744964,5.71654804684778e-14
mvgc-ols,4.09858931872208e-14,6.03933565961412,0.000171478157288542,9.82390437674935,1.14323743756698e-13
mvgc-lasso,1.66688441968796e-10,5.56202142120681e-13,0.000103637367867917,3.60381106638446,4.0396858737421e-15
mvgc-sbl,1.59805642245863e-10,0.252840731609297,0.139956750036773,0.200675975068092,3.42778713022385e-13
mvgc-lapsbl,2.07642564087334e-11,2.25221836749174,0.273094259544402,23.8770936306418,4.57038284029846e-13
pdc-lwr,0.281666133719743,0.00659719874770002,8.99121422014565e-05,5.36365224005908,4.5706160171482e-13
pdc-ols,0.0188691003482685,0.0175226167287603,7.30843806612113e-06,3.49041904296895,6.85628098425354e-13
