Row,t0,t1,t2,t3,t4
mvgc-lwr,3.19723670745363e-15,0.290815655228967,0.020366931383742,0.326610698769312,4.90366679530045e-13
mvgc-ols,2.35283475883634e-15,0.846834627581428,0.134916903367392,1.05494140178441,4.22057322025543e-12
mvgc-lasso,0.633940414173186,2.94116896735431e-12,3.4028551091337e-09,6.55277574685421,4.67208489602928e-13
mvgc-sbl,2.56538508424969e-05,646.73327279167,6574.29737640382,NaN,1.69954932526853e-10
mvgc-lapsbl,5.79535879549066e-06,108.779492501894,1.15007587807408e-10,196.049013120949,4.84181103469818e-11
pdc-lwr,296.488870472627,2.34409821268739e-06,4.06730479044532e-05,1795.15375219736,1.11040557349675e-10
pdc-ols,2.96357494636595e-06,3.24488552117907e-06,NaN,1569.00797414851,1.38729902073654e-10
